ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.52,0.63,9.78,0.01,0.2,-0.14,0.0,0.0,0.0,4,2019-03-25 16:59:35:820
0.52,0.63,9.78,0.01,0.2,-0.14,0.0,0.0,0.0,9,2019-03-25 16:59:35:825
0.52,0.63,9.78,0.01,0.2,-0.14,0.0,0.0,0.0,14,2019-03-25 16:59:35:830
0.52,0.63,9.78,0.01,0.2,-0.14,0.0,0.0,0.0,19,2019-03-25 16:59:35:835
0.42,0.66,9.98,-0.07,0.21,0.05,0.0,0.0,0.01,24,2019-03-25 16:59:35:840
0.42,0.66,9.98,-0.07,0.21,0.05,0.0,0.0,0.01,29,2019-03-25 16:59:35:845
0.42,0.66,9.98,-0.07,0.21,0.05,0.0,0.0,0.01,34,2019-03-25 16:59:35:850
0.42,0.66,9.98,-0.07,0.21,0.05,0.0,0.0,0.01,39,2019-03-25 16:59:35:855
0.46,0.59,9.89,-0.03,0.11,-0.04,0.0,0.0,0.02,44,2019-03-25 16:59:35:860
0.46,0.59,9.89,-0.03,0.11,-0.04,0.0,0.0,0.02,50,2019-03-25 16:59:35:866
0.46,0.59,9.89,-0.03,0.11,-0.04,0.0,0.0,0.02,54,2019-03-25 16:59:35:870
0.46,0.59,9.89,-0.03,0.11,-0.04,0.0,0.0,0.02,59,2019-03-25 16:59:35:875
0.59,0.5,9.85,0.09,0.0,-0.07,0.0,0.0,0.02,64,2019-03-25 16:59:35:880
0.59,0.5,9.85,0.09,0.0,-0.07,0.0,0.0,0.02,70,2019-03-25 16:59:35:886
0.59,0.5,9.85,0.09,0.0,-0.07,0.0,0.0,0.02,74,2019-03-25 16:59:35:890
0.59,0.5,9.85,0.09,0.0,-0.07,0.0,0.0,0.02,79,2019-03-25 16:59:35:895
0.78,0.25,9.82,0.23,-0.24,-0.08,0.0,0.0,0.01,84,2019-03-25 16:59:35:900
0.78,0.25,9.82,0.23,-0.24,-0.08,0.0,0.0,0.01,89,2019-03-25 16:59:35:905
0.78,0.25,9.82,0.23,-0.24,-0.08,0.0,0.0,0.01,94,2019-03-25 16:59:35:910
0.78,0.25,9.82,0.23,-0.24,-0.08,0.0,0.0,0.01,99,2019-03-25 16:59:35:915
0.78,0.25,9.82,0.23,-0.24,-0.08,0.0,0.0,0.01,104,2019-03-25 16:59:35:920
0.96,0.4,9.78,0.37,-0.09,-0.12,0.0,0.0,0.0,109,2019-03-25 16:59:35:925
